keyword,en,vi
10000track,"['english', 'spanish']",[]
24h,[],"['tin_tức', 'thể_thao', 'bóng_đá']"
5play,[],[]
YANDEX,"['services', 'income']","['tổng', 'chủ_sở_hữu', 'công_ty']"
abay,[],"['máy_bay', 'giá', 'vé']"
acb,[],"['ngân_hàng', 'commercial', 'joint']"
accountkit,"['apps', 'phone']",[]
accuweather,"['forecasts', 'weather']",['rain']
acompli,"['accounts', 'messages']",['thông_tin']
aihelp,"['optimize', 'customer']",[]
airvisual,"['quality', 'levels']",[]
akamaihd,"['software', 'provider']",[]
akamaized,"['provider', 'network', 'content', 'delivery']","['nội_dung', 'công_ty', 'mạng_lưới']"
alexametrics,"['internet', 'metrics', 'alexa']",[]
ali,"['services', 'electronics', 'toys', 'products']","['giải', 'kentucky', 'louisville']"
alibaba,['group'],"['nhà_cung_cấp', 'tập_đoàn', 'nhà_sản_xuất']"
alibabauser,"['services', 'products']",[]
aliyuncs,"['china', 'region']",[]
amap,"['monitoring', 'information', 'approach', 'app']",[]
amazonaws,"['services', 'authentication', 'computing', 'product']","['dịch_vụ', 'mây', 'điện_toán']"
amberweather,"['location', 'weather']",[]
ampproject,"['html', 'google', 'validator', 'source', 'script', 'amp']",[]
amv,[],"['cổ_phần', 'tập_đoàn', 'công_ty']"
android,"['kernel', 'linux', 'tools', 'app']","['lượt', 'cửa_hàng', 'google']"
aniview,"['video', 'advertising']",[]
anninhthudo,[],"['lý', 'vũ', 'dũng']"
antinco,[],"['kỹ_thuật', 'trường', 'cty']"
ants,"['bees', 'business', 'wasps', 'advertising']",[]
antt,[],"['ngân_hàng', 'chứng_khoán', 'tài_chính']"
appboy,"['mark', 'boolean', 'default', 'family']",[]
appcenter,"['apps', 'platform']",[]
appier,"['enterprises', 'platforms']",[]
apple,"['locations', 'iphone', 'company', 'ipad']","['chủ_sở_hữu', 'kỹ_sư', 'công_ty']"
apple-dns,"['dns', 'vpn']",[]
applovin,"['studios', 'company', 'marketing', 'platform']",[]
appsflyer,"['approach', 'analytics', 'marketing', 'platform']",[]
apptimize,"['growth', 'data']",[]
avast,[],"['linux', 'mac', 'android']"
azureedge,"['amp', 'player']",[]
b52,[],"['máy_bay', 'vũ_khí']"
bacgiang,[],['tỉnh']
baidu,[],"['tổng', 'vốn', 'văn']"
bankplus,[],"['tiền_mặt', 'khoản', 'tài_khoản']"
baodatviet,[],"['dat', 'viet', 'pháp_luật']"
baodauthau,[],"['doanh_nghiệp', 'văn_bản', 'tài_chính']"
baohaiduong,[],"['danh_thắng', 'thời_sự', 'sự_kiện']"
baomoi,[],"['báo_điện_tử', 'tin_tức']"
baoquangninh,[],"['di_tích', 'văn_hoá', 'tài_nguyên']"
baothanhhoa,[],"['chính_quyền', 'cơ_quan', 'đảng_bộ']"
baotintuc,[],"['pháp_luật', 'kinh_tế', 'nhà_nước']"
batdongsan,[],['nhà_đất']
bentleymotors,"['car', 'motors']","['ô_tô', 'motors', 'xe_hơi']"
bidgear-syndication,"['mid', 'pre']",[]
bidswitch,"['middleware', 'platforms']",[]
bienphong,[],"['thông_tin', 'địa_phương', 'lực_lượng_vũ_trang']"
binance,"['p2p', 'peer']","['khối_lượng', 'tiền', 'bitcoin']"
bizport,"['business', 'printing']",[]
bkav,"['mobile', 'smartphone']","['phần_mềm', 'công_nghệ']"
bluezone,[],"['thông_tin', 'y_tế', 'truyền_thông']"
bongda,[],['bóng_đá']
bongdaplus,[],"['báo', 'điện_tử', 'tạp_chí']"
bossluxury,[],"['đồng_hồ', 'rolex']"
boxtruyen,[],"['limited', 'collection', 'edition']"
branch,"['services', 'experiences', 'journey', 'technology']",[]
braze,"['experiences', 'company', 'city', 'platform']",[]
bsc,[],"['dịch_vụ', 'khách_hàng', 'nhu_cầu']"
bugsense,"['quality', 'performance', 'metrics']",[]
cafef,[],"['thông_tin', 'chứng_khoán', 'tài_chính']"
camera360,[],[]
cangvuhaiphong,[],"['tàu', 'đường_dây_nóng', 'phương_tiện']"
cangvuhanghaiquangninh,[],['điện_thoại']
car-matrix,"['english', 'smartphone', 'app', 'spanish']",[]
caresoft,[],"['tổng_đài', 'cloud', 'contact']"
casalemedia,"['index', 'advertising']",[]
cdc,"['prevention', 'safety', 'health']","['atlanta', 'trụ_sở', 'emory']"
cenhomes,[],"['căn_hộ', 'chung_cư', 'dự_án']"
chartbeat,"['analytics', 'readership', 'technology', 'audience']",[]
chotot,[],"['đường_dây_nóng', 'doanh_nghiệp', 'sở']"
cloudflare,"['internet', 'services', 'system', 'time', 'dns', 'network']","['matthew', 'hoa_kỳ', 'prince']"
cloudmatch,"['matchmaking', 'app']",[]
cloudmosa,"['cloud', 'mobile', 'technology', 'world']",[]
cluodlfare,"['services', 'delivery']","['cloudflare', 'hoa_kỳ', 'prince']"
cnnd,"['project', 'ry']",[]
coccoc,[],['hiệu_lực']
coloros,"['english', 'android']","['dịch_vụ', 'máy_in', 'công_cụ']"
colossusssp,['afghanistan'],[]
congan,[],"['an_ninh', 'trật_tự']"
